"prep.bl.use.prop.0","prep.mean.days.usage.0","art.init.lag.mean","non.testers.prop.0","tests.per.year.0","transmission.probability.insertive.infected","transmission.probability.receptive.infected","seroconcordant.main.condom.prob","serodiscordant.main.condom.prob","seroconcordant.casual.condom.prob","serodiscordant.casual.condom.prob","prop.steady.sex.acts","prop.casual.sex.acts","incarceration.prob","incarceration.with.cji.prob","jail.serving.time.mean","network.retention.multiplier","post.release.interference.period.mean","substance.use.condom.prob.multiplier","external.infections.per.person.day.min","external.infections.per.person.day.max"
0.34,300,270,0.14,3.3,0.0009302428,0.0003789091,0.428,0.53,0.318,0.641,0.273,0.091,7.3060942e-05,0.0007148842,91,0.2,97,0.36,6.547945207e-06,2.8536986301e-05
0.34,300,270,0.14,3.3,0.0009302428,0.0003789091,0.428,0.53,0.318,0.641,0.273,0.091,7.3060942e-05,0.000620577,91,0.2,97,0.36,6.547945207e-06,2.8536986301e-05
0.34,300,270,0.14,4,0.0009302428,0.0003789091,0.428,0.53,0.318,0.641,0.273,0.091,7.3060942e-05,0.000620577,91,0.2,97,0.36,6.547945207e-06,2.8536986301e-05
0.34,300,270,0.14,4,0.0009302428,0.0003789091,0.428,0.64,0.318,0.641,0.273,0.091,7.3060942e-05,0.000620577,91,0.2,97,0.36,6.547945207e-06,2.8536986301e-05
0.34,300,270,0.14,4,0.0009302428,0.0003789091,0.428,0.64,0.318,0.641,0.273,0.091,4.9996354e-05,0.000620577,91,0.2,97,0.36,6.547945207e-06,2.8536986301e-05
0.34,300,270,0.14,4,0.0009302428,0.0003789091,0.428,0.64,0.318,0.641,0.273,0.091,4.9996354e-05,0.000620577,91,0.2,97,0.36,5.945205481e-06,2.8536986301e-05
0.34,300,270,0.14,4,0.0009302428,0.0003789091,0.428,0.64,0.318,0.641,0.273,0.091,4.9996354e-05,0.000620577,91,0.36,97,0.36,5.945205481e-06,2.8536986301e-05
0.34,396,270,0.14,4,0.0009302428,0.0003789091,0.428,0.64,0.318,0.641,0.273,0.091,4.9996354e-05,0.000620577,91,0.36,97,0.36,5.945205481e-06,2.8536986301e-05
0.34,396,270,0.14,4,0.0009302428,0.0003789091,0.428,0.64,0.436,0.641,0.273,0.091,4.9996354e-05,0.000620577,91,0.36,97,0.36,5.945205481e-06,2.8536986301e-05
0.34,396,270,0.14,4,0.0009302428,0.0003789091,0.428,0.64,0.436,0.641,0.273,0.091,4.9996354e-05,0.000620577,91,0.36,97,0.52,5.945205481e-06,2.8536986301e-05
0.34,396,270,0.14,4,0.0009302428,0.0003789091,0.428,0.64,0.436,0.641,0.239,0.091,4.9996354e-05,0.000620577,91,0.36,97,0.52,5.945205481e-06,2.8536986301e-05
0.28,396,270,0.14,4,0.0009302428,0.0003789091,0.428,0.64,0.436,0.641,0.239,0.091,4.9996354e-05,0.000620577,91,0.36,97,0.52,5.945205481e-06,2.8536986301e-05
0.28,396,270,0.12,4,0.0009302428,0.0003789091,0.428,0.64,0.436,0.641,0.239,0.091,4.9996354e-05,0.000620577,91,0.36,97,0.52,5.945205481e-06,2.8536986301e-05
0.28,396,217.4,0.12,4,0.0009302428,0.0003789091,0.428,0.64,0.436,0.641,0.239,0.091,4.9996354e-05,0.000620577,91,0.36,97,0.52,5.945205481e-06,2.8536986301e-05
0.28,396,217.4,0.12,4,0.0008174216,0.0003789091,0.428,0.64,0.436,0.641,0.239,0.091,4.9996354e-05,0.000620577,91,0.36,97,0.52,5.945205481e-06,2.8536986301e-05
0.28,396,217.4,0.12,4,0.0008174216,0.0003789091,0.428,0.64,0.436,0.641,0.239,0.091,4.9996354e-05,0.000620577,91,0.36,97,0.52,5.945205481e-06,2.5643835615e-05
0.28,396,217.4,0.12,4,0.0008174216,0.0003065333,0.428,0.64,0.436,0.641,0.239,0.091,4.9996354e-05,0.000620577,91,0.36,97,0.52,5.945205481e-06,2.5643835615e-05
0.28,396,217.4,0.12,4,0.0008174216,0.0003065333,0.428,0.64,0.436,0.641,0.239,0.091,4.9996354e-05,0.000620577,91,0.36,164,0.52,5.945205481e-06,2.5643835615e-05
0.28,396,217.4,0.12,4,0.0008174216,0.0003065333,0.428,0.64,0.436,0.641,0.239,0.091,4.9996354e-05,0.000620577,126.6,0.36,164,0.52,5.945205481e-06,2.5643835615e-05
0.28,396,217.4,0.12,4,0.0008174216,0.0003065333,0.32,0.64,0.436,0.641,0.239,0.091,4.9996354e-05,0.000620577,126.6,0.36,164,0.52,5.945205481e-06,2.5643835615e-05
0.28,396,217.4,0.12,4,0.0008174216,0.0003065333,0.32,0.64,0.436,0.641,0.239,0.077,4.9996354e-05,0.000620577,126.6,0.36,164,0.52,5.945205481e-06,2.5643835615e-05
0.28,396,217.4,0.12,4,0.0008174216,0.0003065333,0.32,0.64,0.436,0.515,0.239,0.077,4.9996354e-05,0.000620577,126.6,0.36,164,0.52,5.945205481e-06,2.5643835615e-05
0.37,348,164.8,0.12,1.9,0.0008738322,0.0003789091,0.158,0.31,0.436,0.2,0.239,0.105,9.612553e-05,0.000856345,73.2,0.2,164,0.76,5.041095892e-06,2.7090410958e-05
0.37,348,164.8,0.12,1.9,0.0008738322,0.0003789091,0.158,0.31,0.436,0.2,0.205,0.105,9.612553e-05,0.000856345,73.2,0.2,164,0.76,5.041095892e-06,2.7090410958e-05
