"design","prep.bl.use.prop.0","prep.mean.days.usage.0","art.init.lag.mean","non.testers.prop.0","tests.per.year.0","transmission.probability.insertive.infected","transmission.probability.receptive.infected","seroconcordant.main.condom.prob","serodiscordant.main.condom.prob","seroconcordant.casual.condom.prob","serodiscordant.casual.condom.prob","prop.steady.sex.acts","prop.casual.sex.acts","incarceration.prob","incarceration.with.cji.prob","jail.serving.time.mean","network.retention.multiplier","post.release.interference.period.mean","substance.use.condom.prob.multiplier","external.infections.per.person.day.min","external.infections.per.person.day.max","avg_incidence_10yr","avg_prevalence_10yr","avg_incidence_5yr","avg_prevalence_5yr"
1,0.34,300,270,0.14,3.3,0.0009302428,0.0003789091,0.428,0.53,0.318,0.641,0.273,0.091,7.3060942e-05,0.0007148842,91,0.2,97,0.36,6.547945207e-06,2.8536986301e-05,2.31834069348859,18.6317164383562,2.28385814901676,18.4423979908676
2,0.34,300,270,0.14,3.3,0.0009302428,0.0003789091,0.428,0.53,0.318,0.641,0.273,0.091,7.3060942e-05,0.000620577,91,0.2,97,0.36,6.547945207e-06,2.8536986301e-05,2.36212676752852,18.8422999086758,2.32738937505075,18.6431669406393
3,0.34,300,270,0.14,4,0.0009302428,0.0003789091,0.428,0.53,0.318,0.641,0.273,0.091,7.3060942e-05,0.000620577,91,0.2,97,0.36,6.547945207e-06,2.8536986301e-05,2.2957983253848,18.375342283105,2.28378855276958,18.1066527853881
4,0.34,300,270,0.14,4,0.0009302428,0.0003789091,0.428,0.64,0.318,0.641,0.273,0.091,7.3060942e-05,0.000620577,91,0.2,97,0.36,6.547945207e-06,2.8536986301e-05,2.28205553760326,18.2774614611872,2.27054675059999,18.1304913242009
5,0.34,300,270,0.14,4,0.0009302428,0.0003789091,0.428,0.64,0.318,0.641,0.273,0.091,4.9996354e-05,0.000620577,91,0.2,97,0.36,6.547945207e-06,2.8536986301e-05,2.29641565737987,18.4172474885845,2.24709687285751,18.1672752511416
6,0.34,300,270,0.14,4,0.0009302428,0.0003789091,0.428,0.64,0.318,0.641,0.273,0.091,4.9996354e-05,0.000620577,91,0.2,97,0.36,5.945205481e-06,2.8536986301e-05,2.26424901670763,18.3161452054795,2.21253563256845,18.0376672146119
7,0.34,300,270,0.14,4,0.0009302428,0.0003789091,0.428,0.64,0.318,0.641,0.273,0.091,4.9996354e-05,0.000620577,91,0.36,97,0.36,5.945205481e-06,2.8536986301e-05,2.31781804107194,18.4403295890411,2.30423431674326,18.2553110502283
8,0.34,396,270,0.14,4,0.0009302428,0.0003789091,0.428,0.64,0.318,0.641,0.273,0.091,4.9996354e-05,0.000620577,91,0.36,97,0.36,5.945205481e-06,2.8536986301e-05,2.28436697246135,18.4540319634703,2.24712136999608,18.2022966210046
9,0.34,396,270,0.14,4,0.0009302428,0.0003789091,0.428,0.64,0.436,0.641,0.273,0.091,4.9996354e-05,0.000620577,91,0.36,97,0.36,5.945205481e-06,2.8536986301e-05,2.34650717082591,18.7209599086758,2.32270954341613,18.5325066666667
10,0.34,396,270,0.14,4,0.0009302428,0.0003789091,0.428,0.64,0.436,0.641,0.273,0.091,4.9996354e-05,0.000620577,91,0.36,97,0.52,5.945205481e-06,2.8536986301e-05,2.29589470553604,18.4078174429224,2.26176248834756,18.2297342465753
11,0.34,396,270,0.14,4,0.0009302428,0.0003789091,0.428,0.64,0.436,0.641,0.239,0.091,4.9996354e-05,0.000620577,91,0.36,97,0.52,5.945205481e-06,2.8536986301e-05,2.08824826215689,17.3649429223744,2.05746865316281,16.9927821004566
12,0.28,396,270,0.14,4,0.0009302428,0.0003789091,0.428,0.64,0.436,0.641,0.239,0.091,4.9996354e-05,0.000620577,91,0.36,97,0.52,5.945205481e-06,2.8536986301e-05,2.25544970565865,18.2332653881279,2.22985534335658,18.0470849315068
13,0.28,396,270,0.12,4,0.0009302428,0.0003789091,0.428,0.64,0.436,0.641,0.239,0.091,4.9996354e-05,0.000620577,91,0.36,97,0.52,5.945205481e-06,2.8536986301e-05,2.24734737173596,18.1651300456621,2.22940855853801,17.952139543379
14,0.28,396,217.4,0.12,4,0.0009302428,0.0003789091,0.428,0.64,0.436,0.641,0.239,0.091,4.9996354e-05,0.000620577,91,0.36,97,0.52,5.945205481e-06,2.8536986301e-05,2.17212760515727,17.8650446575342,2.12072611965023,17.6078694063927
15,0.28,396,217.4,0.12,4,0.0008174216,0.0003789091,0.428,0.64,0.436,0.641,0.239,0.091,4.9996354e-05,0.000620577,91,0.36,97,0.52,5.945205481e-06,2.8536986301e-05,1.95950392284571,16.2997083105023,1.9346840219516,16.0745642009132
16,0.28,396,217.4,0.12,4,0.0008174216,0.0003789091,0.428,0.64,0.436,0.641,0.239,0.091,4.9996354e-05,0.000620577,91,0.36,97,0.52,5.945205481e-06,2.5643835615e-05,1.82130396515329,15.5964855707763,1.78168067526916,15.2132356164384
17,0.28,396,217.4,0.12,4,0.0008174216,0.0003065333,0.428,0.64,0.436,0.641,0.239,0.091,4.9996354e-05,0.000620577,91,0.36,97,0.52,5.945205481e-06,2.5643835615e-05,1.75066532388471,15.0224223744292,1.7306171884077,14.6076416438356
18,0.28,396,217.4,0.12,4,0.0008174216,0.0003065333,0.428,0.64,0.436,0.641,0.239,0.091,4.9996354e-05,0.000620577,91,0.36,164,0.52,5.945205481e-06,2.5643835615e-05,1.78174947016593,15.3518465753425,1.75978514153583,14.929756347032
19,0.28,396,217.4,0.12,4,0.0008174216,0.0003065333,0.428,0.64,0.436,0.641,0.239,0.091,4.9996354e-05,0.000620577,126.6,0.36,164,0.52,5.945205481e-06,2.5643835615e-05,1.76752370650984,15.2196126940639,1.73932702835002,14.839680913242
20,0.28,396,217.4,0.12,4,0.0008174216,0.0003065333,0.32,0.64,0.436,0.641,0.239,0.091,4.9996354e-05,0.000620577,126.6,0.36,164,0.52,5.945205481e-06,2.5643835615e-05,1.76945147671841,15.213103652968,1.74372081216509,14.8695488584475
21,0.28,396,217.4,0.12,4,0.0008174216,0.0003065333,0.32,0.64,0.436,0.641,0.239,0.077,4.9996354e-05,0.000620577,126.6,0.36,164,0.52,5.945205481e-06,2.5643835615e-05,1.63583468817664,14.3754061187215,1.59025342712635,13.9727532420091
22,0.28,396,217.4,0.12,4,0.0008174216,0.0003065333,0.32,0.64,0.436,0.515,0.239,0.077,4.9996354e-05,0.000620577,126.6,0.36,164,0.52,5.945205481e-06,2.5643835615e-05,1.67436076507691,14.5736857534247,1.66190551851376,14.1977905022831
23,0.37,348,164.8,0.12,1.9,0.0008738322,0.0003789091,0.158,0.31,0.436,0.2,0.239,0.105,9.612553e-05,0.000856345,73.2,0.2,164,0.76,5.041095892e-06,2.7090410958e-05,2.24569684982366,18.1790054794521,2.21850267181467,17.9625393607306
24,0.37,348,164.8,0.12,1.9,0.0008738322,0.0003789091,0.158,0.31,0.436,0.2,0.205,0.105,9.612553e-05,0.000856345,73.2,0.2,164,0.76,5.041095892e-06,2.7090410958e-05,2.10425187596875,17.3659713242009,2.06780630145226,17.0950383561644
25,0.37,348,164.8,0.12,1.9,0.0008738322,0.0003789091,0.158,0.31,0.436,0.2,0.205,0.105,9.612553e-05,0.000856345,108.8,0.2,164,0.76,5.041095892e-06,2.7090410958e-05,2.04695374900726,16.8751198173516,2.03238333337439,16.6309298630137
26,0.31,348,164.8,0.12,1.9,0.0008738322,0.0003789091,0.158,0.31,0.436,0.2,0.205,0.105,9.612553e-05,0.000856345,108.8,0.2,164,0.76,5.041095892e-06,2.7090410958e-05,2.2159110731342,17.9607113242009,2.20158671454591,17.7789561643836
27,0.31,348,164.8,0.12,1.9,0.0008738322,0.0003789091,0.158,0.31,0.436,0.2,0.205,0.119,9.612553e-05,0.000856345,108.8,0.2,164,0.76,5.041095892e-06,2.7090410958e-05,2.43030784085084,19.3585146118721,2.38618293035034,19.2046591780822
28,0.31,348,164.8,0.12,1.9,0.000761011,0.0003789091,0.158,0.31,0.436,0.2,0.205,0.119,9.612553e-05,0.000856345,108.8,0.2,164,0.76,5.041095892e-06,2.7090410958e-05,2.09191085928882,17.2986634703196,2.07026645651591,17.0317956164384
29,0.31,348,164.8,0.12,1.9,0.000761011,0.0003789091,0.158,0.31,0.436,0.2,0.205,0.119,9.612553e-05,0.000856345,108.8,0.2,164,0.6,5.041095892e-06,2.7090410958e-05,2.09158604158301,17.2270258447489,2.076128218387,16.9689378995434
