"scenario","art_red","prep_red","reduction","art_cov","prep_cov","panel","mean","lower","upper","crosses_one"
"Reduce PrEP only",0,0.1,0.1,0,0.1,"A. Intervention use reduction",1.04462196704377,1.00310612717775,1.08363521710964,FALSE
"Reduce PrEP only",0,0.1,0.1,0,0.0220967804292284,"B. Government funding reduction",1.00909366333347,0.99837054233209,1.02005029212568,TRUE
"Reduce PrEP only",0,0.25,0.25,0,0.25,"A. Intervention use reduction",1.11302477442363,1.03239481042073,1.19623984863596,FALSE
"Reduce PrEP only",0,0.25,0.25,0,0.055241951073071,"B. Government funding reduction",1.02375334648405,0.998493089851114,1.04838795497371,TRUE
"Reduce PrEP only",0,0.4,0.4,0,0.4,"A. Intervention use reduction",1.1815642941653,1.061075277052,1.31394992063324,FALSE
"Reduce PrEP only",0,0.4,0.4,0,0.0883871217169136,"B. Government funding reduction",1.03915218846617,1.00130760244044,1.07532052346801,FALSE
"Reduce ART only",0.1,0,0.1,0.1,0,"A. Intervention use reduction",1.18757921930195,1.14974335411109,1.22665309438099,FALSE
"Reduce ART only",0.1,0,0.1,0.0754713150507441,0,"B. Government funding reduction",1.13875600547848,1.10823285122838,1.17057470682467,FALSE
"Reduce ART only",0.25,0,0.25,0.25,0,"A. Intervention use reduction",1.48850551065394,1.4100805048057,1.56714547320952,FALSE
"Reduce ART only",0.25,0,0.25,0.18867828762686,0,"B. Government funding reduction",1.36688414352198,1.30416123133049,1.42531034615338,FALSE
"Reduce ART only",0.4,0,0.4,0.4,0,"A. Intervention use reduction",1.77086253577004,1.663783172889,1.88627676295542,FALSE
"Reduce ART only",0.4,0,0.4,0.301885260202976,0,"B. Government funding reduction",1.58816207803505,1.49721202256219,1.68265011017786,FALSE
"Reduce both PrEP and ART",0.1,0.1,0.1,0.1,0.1,"A. Intervention use reduction",1.23957442747424,1.18606030344764,1.28892201665169,FALSE
"Reduce both PrEP and ART",0.1,0.1,0.1,0.0754713150507441,0.0220967804292284,"B. Government funding reduction",1.14925922356953,1.11847906171016,1.17902718256282,FALSE
"Reduce both PrEP and ART",0.25,0.25,0.25,0.25,0.25,"A. Intervention use reduction",1.63859592716366,1.52705158608665,1.77467592974306,FALSE
"Reduce both PrEP and ART",0.25,0.25,0.25,0.18867828762686,0.055241951073071,"B. Government funding reduction",1.39865253435784,1.33939193633252,1.45716333538042,FALSE
"Reduce both PrEP and ART",0.4,0.4,0.4,0.4,0.4,"A. Intervention use reduction",2.04299740825091,1.86679057348362,2.25751937644526,FALSE
"Reduce both PrEP and ART",0.4,0.4,0.4,0.301885260202976,0.0883871217169136,"B. Government funding reduction",1.6453336005525,1.56104097903836,1.7597214555907,FALSE
