"scenario","art_red","prep_red","reduction","art_cov","prep_cov","case","irr_mean","irr_ci_lower","irr_ci_upper"
"Reduce PrEP only",0,0.1,0.1,0,0.0220967804292284,"Baseline (r=0.78, P0=36%)",1.00909786960975,0.998284626564636,1.02038343133256
"Reduce PrEP only",0,0.25,0.25,0,0.055241951073071,"Baseline (r=0.78, P0=36%)",1.02371388970336,0.998322310900725,1.04869464057381
"Reduce PrEP only",0,0.4,0.4,0,0.0883871217169136,"Baseline (r=0.78, P0=36%)",1.03909765959769,1.00166795719218,1.0757607805386
"Reduce ART only",0.1,0,0.1,0.0754713150507441,0,"Baseline (r=0.78, P0=36%)",1.13858374486336,1.1081451165039,1.17025092922582
"Reduce ART only",0.25,0,0.25,0.18867828762686,0,"Baseline (r=0.78, P0=36%)",1.36652848235335,1.30433111015504,1.42477033799425
"Reduce ART only",0.4,0,0.4,0.301885260202976,0,"Baseline (r=0.78, P0=36%)",1.58778498140328,1.49680456580176,1.68094534372814
"Reduce both PrEP and ART",0.1,0.1,0.1,0.0754713150507441,0.0220967804292284,"Baseline (r=0.78, P0=36%)",1.1491583850191,1.11870698842829,1.17870469211232
"Reduce both PrEP and ART",0.25,0.25,0.25,0.18867828762686,0.055241951073071,"Baseline (r=0.78, P0=36%)",1.39850317838811,1.33861505805707,1.45678128623967
"Reduce both PrEP and ART",0.4,0.4,0.4,0.301885260202976,0.0883871217169136,"Baseline (r=0.78, P0=36%)",1.64520152968768,1.55751593283251,1.75810336207772
"Reduce PrEP only",0,0.1,0.1,0,0.075,"Case 1 (r=25%, P0=36%)",1.03282331631605,0.999881039979282,1.06468582560891
"Reduce PrEP only",0,0.25,0.25,0,0.1875,"Case 1 (r=25%, P0=36%)",1.08502107252624,1.0164785025493,1.15891649569928
"Reduce PrEP only",0,0.4,0.4,0,0.3,"Case 1 (r=25%, P0=36%)",1.134719775272,1.04166399596597,1.23403452192711
"Reduce ART only",0.1,0,0.1,0.0754713150507441,0,"Case 1 (r=25%, P0=36%)",1.13858374486336,1.1081451165039,1.17025092922582
"Reduce ART only",0.25,0,0.25,0.18867828762686,0,"Case 1 (r=25%, P0=36%)",1.36652848235335,1.30433111015504,1.42477033799425
"Reduce ART only",0.4,0,0.4,0.301885260202976,0,"Case 1 (r=25%, P0=36%)",1.58778498140328,1.49680456580176,1.68094534372814
"Reduce both PrEP and ART",0.1,0.1,0.1,0.0754713150507441,0.075,"Case 1 (r=25%, P0=36%)",1.17606591212145,1.13453788132109,1.21377773509474
"Reduce both PrEP and ART",0.25,0.25,0.25,0.18867828762686,0.1875,"Case 1 (r=25%, P0=36%)",1.4748524502032,1.38452728685156,1.57109537350362
"Reduce both PrEP and ART",0.4,0.4,0.4,0.301885260202976,0.3,"Case 1 (r=25%, P0=36%)",1.77616712015163,1.64407986196264,1.94438284034894
"Reduce PrEP only",0,0.1,0.1,0,0.075,"Case 2 (r=25%, P0=24%)",1.03282331631605,0.999881039979282,1.06468582560891
"Reduce PrEP only",0,0.25,0.25,0,0.1875,"Case 2 (r=25%, P0=24%)",1.08502107252624,1.0164785025493,1.15891649569928
"Reduce PrEP only",0,0.4,0.4,0,0.3,"Case 2 (r=25%, P0=24%)",1.134719775272,1.04166399596597,1.23403452192711
"Reduce ART only",0.1,0,0.1,0.0754713150507441,0,"Case 2 (r=25%, P0=24%)",1.13858374486336,1.1081451165039,1.17025092922582
"Reduce ART only",0.25,0,0.25,0.18867828762686,0,"Case 2 (r=25%, P0=24%)",1.36652848235335,1.30433111015504,1.42477033799425
"Reduce ART only",0.4,0,0.4,0.301885260202976,0,"Case 2 (r=25%, P0=24%)",1.58778498140328,1.49680456580176,1.68094534372814
"Reduce both PrEP and ART",0.1,0.1,0.1,0.0754713150507441,0.075,"Case 2 (r=25%, P0=24%)",1.17606591212145,1.13453788132109,1.21377773509474
"Reduce both PrEP and ART",0.25,0.25,0.25,0.18867828762686,0.1875,"Case 2 (r=25%, P0=24%)",1.4748524502032,1.38452728685156,1.57109537350362
"Reduce both PrEP and ART",0.4,0.4,0.4,0.301885260202976,0.3,"Case 2 (r=25%, P0=24%)",1.77616712015163,1.64407986196264,1.94438284034894
