"draw","r","P0","gamma_PrEP","beta_PrEP","prep_cov_per_funding","irr_mean","irr_ci_lower","irr_ci_upper"
1,0.231913619907573,0.336569372434169,0.0780550215112282,1.22887287828999,0.768086380092427,1.47703047930588,1.38691108039334,1.57601246111792
2,0.305800580885261,0.356162772271782,0.108914782650416,1.28486898916524,0.694199419114739,1.46687046378854,1.38046707610951,1.55910048536814
3,0.254116930707823,0.136412596777081,0.0346647504028759,3.12224077283742,0.745883069292177,1.47398810115989,1.38459408113973,1.5715174006491
4,0.190716410055757,0.267489444371313,0.0510146265583058,1.46752069227913,0.809283589944243,1.48265742556101,1.39016524498333,1.58507014626208
5,0.243795161310118,0.23954962676391,0.0584010398986859,1.75370550770181,0.756204838689882,1.47540340926897,1.38565778481892,1.57382196315138
6,0.247784913750365,0.216025942917913,0.0535279696337565,1.954986071995,0.752215086249635,1.47485655024767,1.38524050680333,1.57304833614797
7,0.29898048035102,0.143034797552973,0.0427646124792987,3.16825259935966,0.70101951964898,1.46781301887858,1.38098979231243,1.56085564746477
8,0.351098477200139,0.196818354539573,0.0691026245638813,2.48740914340314,0.648901522799861,1.46057942381446,1.37599162934231,1.54692250114114
9,0.255579760763794,0.311683246828616,0.0796599296585402,1.36917822903583,0.744420239236206,1.47378737295127,1.38449504842531,1.57112746034482
10,0.374148674251046,0.243762411475182,0.0912033830856772,2.08234988025001,0.625851325748954,1.45735581619063,1.37369604629939,1.5407520354202
11,0.347706860047765,0.325607740469277,0.11321604504582,1.49573303167322,0.652293139952235,1.46105244479308,1.37637281572213,1.54774489255082
12,0.281225928978529,0.166011354401708,0.046686697362604,2.66232715333794,0.718774071021471,1.47026173898725,1.38249421552796,1.56506654083894
13,0.285860733420122,0.230170901622623,0.0657968227498139,1.93267257633584,0.714139266579878,1.46962317334049,1.38218454036944,1.56394093283974
14,0.24694589280989,0.347980678025633,0.0859323992156309,1.21230055751779,0.75305410719011,1.47497157306477,1.38532817166215,1.57326880867253
15,0.27703285694588,0.273281075600535,0.0757078371228591,1.60791652222595,0.72296714305412,1.47083905503311,1.38286566120881,1.56608232792212
16,0.176390121807344,0.282518074829131,0.0498333976318869,1.36528661158314,0.823609878192656,1.4846099020006,1.39142239794038,1.58789460565996
17,0.142204583389685,0.236446972489357,0.0336238432166012,1.56629707685225,0.857795416610315,1.48926247113425,1.39431294454947,1.59443723032278
18,0.353196429146919,0.350836244635284,0.123914108820497,1.39995718512553,0.646803570853081,1.46028665945146,1.37575699423537,1.54648105320879
19,0.344593096000608,0.345620366111398,0.11909839199919,1.40243027522169,0.655406903999392,1.4614864196444,1.37672643373529,1.54859528004151
20,0.216498544730712,0.342506506070495,0.0741521601250628,1.18381266894981,0.783501455269288,1.47913839939616,1.3880567268984,1.57950617756741
21,0.305635547440033,0.223137136269361,0.0681986407978874,2.05037020355237,0.694364452559967,1.46689328503249,1.38048801218352,1.55914059783467
22,0.353632988757454,0.135988115742803,0.0480898838056219,3.61419413674877,0.646367011242546,1.46022572242612,1.37570821345335,1.54636289087672
23,0.272843307000585,0.257113240677863,0.0701516268601855,1.699179141702,0.727156692999415,1.47141552696348,1.38323363396872,1.5670730743362
24,0.339839683962055,0.234972251337022,0.0798528956342259,2.04797959003009,0.660160316037946,1.46214837652465,1.3771102486067,1.54988726579078
25,0.174065583269112,0.345360598862171,0.0601153940791136,1.11371293599678,0.825934416730888,1.48492653578827,1.39158033927237,1.58842679021463
26,0.169976407778449,0.268424448631704,0.0456258235383279,1.42586730220979,0.830023592221551,1.48548343137639,1.39214540903321,1.58947446434972
27,0.14495599543443,0.331464789155871,0.0480478084635525,1.12089710970008,0.85504400456557,1.48888829289354,1.3941301701295,1.5939914901595
28,0.226169693865813,0.170445598997176,0.0385496289459664,2.40857453320675,0.773830306134187,1.47781630760244,1.38735931566644,1.57734301092233
29,0.14735628379276,0.169513353444636,0.0249788578168502,2.1979616223663,0.85264371620724,1.48856182955997,1.39397132478819,1.59360079000035
30,0.240118361369241,0.187913915477693,0.0451215814629817,2.2247782185927,0.759881638630759,1.47590714640056,1.38604325123846,1.5744420286274
