"scenario","art_red","prep_red","reduction","art_cov","prep_cov","r_scenario","irr_mean","irr_ci_lower","irr_ci_upper"
"Reduce PrEP only",0,0.1,0.1,0,0.075,"Lower bound (r=25%)",1.03282331631605,0.999881039979282,1.06468582560891
"Reduce PrEP only",0,0.25,0.25,0,0.1875,"Lower bound (r=25%)",1.08502107252624,1.0164785025493,1.15891649569928
"Reduce PrEP only",0,0.4,0.4,0,0.3,"Lower bound (r=25%)",1.134719775272,1.04166399596597,1.23403452192711
"Reduce ART only",0.1,0,0.1,0.0754713150507441,0,"Lower bound (r=25%)",1.13858374486336,1.1081451165039,1.17025092922582
"Reduce ART only",0.25,0,0.25,0.18867828762686,0,"Lower bound (r=25%)",1.36652848235335,1.30433111015504,1.42477033799425
"Reduce ART only",0.4,0,0.4,0.301885260202976,0,"Lower bound (r=25%)",1.58778498140328,1.49680456580176,1.68094534372814
"Reduce both PrEP and ART",0.1,0.1,0.1,0.0754713150507441,0.075,"Lower bound (r=25%)",1.17606591212145,1.13453788132109,1.21377773509474
"Reduce both PrEP and ART",0.25,0.25,0.25,0.18867828762686,0.1875,"Lower bound (r=25%)",1.4748524502032,1.38452728685156,1.57109537350362
"Reduce both PrEP and ART",0.4,0.4,0.4,0.301885260202976,0.3,"Lower bound (r=25%)",1.77616712015163,1.64407986196264,1.94438284034894
"Reduce PrEP only",0,0.1,0.1,0,0.0558411956683608,"Baseline (r=44.2%)",1.02398666112092,0.998399183869532,1.04918625809229
"Reduce PrEP only",0,0.25,0.25,0,0.139602989170902,"Baseline (r=44.2%)",1.06319660989718,1.00959140473485,1.11833688074801
"Reduce PrEP only",0,0.4,0.4,0,0.223364782673443,"Baseline (r=44.2%)",1.10086136988972,1.02572377373808,1.17893289455272
"Reduce ART only",0.1,0,0.1,0.0754713150507441,0,"Baseline (r=44.2%)",1.13858374486336,1.1081451165039,1.17025092922582
"Reduce ART only",0.25,0,0.25,0.18867828762686,0,"Baseline (r=44.2%)",1.36652848235335,1.30433111015504,1.42477033799425
"Reduce ART only",0.4,0,0.4,0.301885260202976,0,"Baseline (r=44.2%)",1.58778498140328,1.49680456580176,1.68094534372814
"Reduce both PrEP and ART",0.1,0.1,0.1,0.0754713150507441,0.0558411956683608,"Baseline (r=44.2%)",1.16615259126436,1.12889595989255,1.19991313450486
"Reduce both PrEP and ART",0.25,0.25,0.25,0.18867828762686,0.139602989170902,"Baseline (r=44.2%)",1.44801804589718,1.36889413085676,1.52427696123698
"Reduce both PrEP and ART",0.4,0.4,0.4,0.301885260202976,0.223364782673443,"Baseline (r=44.2%)",1.72958783090101,1.61482948037086,1.86805442481384
"Reduce PrEP only",0,0.1,0.1,0,0.0220967804292284,"Upper bound (r=78%)",1.00909786960975,0.998284626564636,1.02038343133256
"Reduce PrEP only",0,0.25,0.25,0,0.055241951073071,"Upper bound (r=78%)",1.02371388970336,0.998322310900725,1.04869464057381
"Reduce PrEP only",0,0.4,0.4,0,0.0883871217169136,"Upper bound (r=78%)",1.03909765959769,1.00166795719218,1.0757607805386
"Reduce ART only",0.1,0,0.1,0.0754713150507441,0,"Upper bound (r=78%)",1.13858374486336,1.1081451165039,1.17025092922582
"Reduce ART only",0.25,0,0.25,0.18867828762686,0,"Upper bound (r=78%)",1.36652848235335,1.30433111015504,1.42477033799425
"Reduce ART only",0.4,0,0.4,0.301885260202976,0,"Upper bound (r=78%)",1.58778498140328,1.49680456580176,1.68094534372814
"Reduce both PrEP and ART",0.1,0.1,0.1,0.0754713150507441,0.0220967804292284,"Upper bound (r=78%)",1.1491583850191,1.11870698842829,1.17870469211232
"Reduce both PrEP and ART",0.25,0.25,0.25,0.18867828762686,0.055241951073071,"Upper bound (r=78%)",1.39850317838811,1.33861505805707,1.45678128623967
"Reduce both PrEP and ART",0.4,0.4,0.4,0.301885260202976,0.0883871217169136,"Upper bound (r=78%)",1.64520152968768,1.55751593283251,1.75810336207772
