"mean","ci_lower","ci_upper","ci_width","year","case"
1,1,1,9.99200722162641e-16,0,"Baseline (r=0.78)"
1.20178635344073,1.13864049975334,1.2647201858634,0.12607968611006,1,"Baseline (r=0.78)"
1.33397131345988,1.26354439346018,1.41394692907102,0.150402535610843,2,"Baseline (r=0.78)"
1.37205926111581,1.28319460404458,1.4525919744117,0.169397370367127,3,"Baseline (r=0.78)"
1.41373139832066,1.33071813071996,1.50193453031081,0.171216399590856,4,"Baseline (r=0.78)"
1.44942809412422,1.36010021672949,1.54125331184374,0.181153095114247,5,"Baseline (r=0.78)"
1.48872066451587,1.38907281898371,1.58800337668741,0.198930557703692,6,"Baseline (r=0.78)"
1.51066096009296,1.40976329040843,1.60994762595395,0.20018433554552,7,"Baseline (r=0.78)"
1.52740739817459,1.42188077667149,1.6481802940203,0.226299517348803,8,"Baseline (r=0.78)"
1.54644157564944,1.42479387508934,1.67474576992387,0.249951894834532,9,"Baseline (r=0.78)"
1.54115151423314,1.41646180532848,1.70494763541059,0.288485830082108,10,"Baseline (r=0.78)"
1,0.999999999999999,1,1.33226762955019e-15,0,"Case 1 (r=25%)"
1.23487851066706,1.1679500269884,1.29751370231742,0.129563675329019,1,"Case 1 (r=25%)"
1.39476289788218,1.315951707889,1.4822385915867,0.166286883697707,2,"Case 1 (r=25%)"
1.44458579795329,1.3499539634097,1.54772555432209,0.197771590912394,3,"Case 1 (r=25%)"
1.49569773245478,1.40030630652598,1.59761542796308,0.197309121437099,4,"Case 1 (r=25%)"
1.54016402696248,1.42834591370891,1.6548027568025,0.226456843093594,5,"Case 1 (r=25%)"
1.58498018926097,1.45829409206338,1.72711456231498,0.268820470251606,6,"Case 1 (r=25%)"
1.60823549284648,1.48063046616615,1.74782723245975,0.267196766293599,7,"Case 1 (r=25%)"
1.62588207158915,1.48773090557535,1.77628415799272,0.288553252417369,8,"Case 1 (r=25%)"
1.64878112046382,1.49161697372589,1.8465092790366,0.35489230531071,9,"Case 1 (r=25%)"
1.64390892075804,1.48048957228069,1.85412571417484,0.373636141894156,10,"Case 1 (r=25%)"
