"panel","case","time_summary","art_red","prep_red","art_cov","prep_cov","mean","lower","upper"
"A. Intervention use reduction","committed","horizon_mean",0,0,0,0,1,1,1
"A. Intervention use reduction","committed","horizon_mean",0.0075,0,0.0075,0,1.01278659944028,1.00931790050812,1.01668520168996
"A. Intervention use reduction","committed","horizon_mean",0.015,0,0.015,0,1.0258256869227,1.01913759280714,1.03363336355708
"A. Intervention use reduction","committed","horizon_mean",0.0225,0,0.0225,0,1.03910752205321,1.02911486641318,1.05039895172078
"A. Intervention use reduction","committed","horizon_mean",0.03,0,0.03,0,1.05262219164841,1.0392636046253,1.06750413273341
"A. Intervention use reduction","committed","horizon_mean",0.0375,0,0.0375,0,1.06635897615701,1.04976307173566,1.08476827385
"A. Intervention use reduction","committed","horizon_mean",0.045,0,0.045,0,1.0803058385317,1.06063565059754,1.10193725890785
"A. Intervention use reduction","committed","horizon_mean",0.0525,0,0.0525,0,1.09444934561616,1.07188127514903,1.11922872880901
"A. Intervention use reduction","committed","horizon_mean",0.06,0,0.06,0,1.10877469290429,1.08352664715251,1.13626576498723
"A. Intervention use reduction","committed","horizon_mean",0.0675,0,0.0675,0,1.12326598847641,1.09525705755709,1.15333271031618
"A. Intervention use reduction","committed","horizon_mean",0.075,0,0.075,0,1.13790683647887,1.10735721804663,1.17046515995492
"A. Intervention use reduction","committed","horizon_mean",0.0825,0,0.0825,0,1.15268075637924,1.11977698972995,1.18735958304115
"A. Intervention use reduction","committed","horizon_mean",0.09,0,0.09,0,1.16757140961135,1.13251101065575,1.20424100245534
"A. Intervention use reduction","committed","horizon_mean",0.0975,0,0.0975,0,1.18256261344324,1.14540407680967,1.22102386434343
"A. Intervention use reduction","committed","horizon_mean",0.1,0,0.1,0,1.18757921930196,1.14974335411105,1.22665309438103
"A. Intervention use reduction","committed","horizon_mean",0.105,0,0.105,0,1.19763802947298,1.15832053800686,1.23740945187754
"A. Intervention use reduction","committed","horizon_mean",0.1125,0,0.1125,0,1.21278041299425,1.17158969743785,1.25400793256856
"A. Intervention use reduction","committed","horizon_mean",0.12,0,0.12,0,1.22797134132324,1.18459607927257,1.27086335386149
"A. Intervention use reduction","committed","horizon_mean",0.1275,0,0.1275,0,1.2431920225971,1.19794088359719,1.28749641826493
"A. Intervention use reduction","committed","horizon_mean",0.135,0,0.135,0,1.25842540560344,1.21091303653181,1.30384756790555
"A. Intervention use reduction","committed","horizon_mean",0.1425,0,0.1425,0,1.273660206096,1.22406190890531,1.32048562215353
"A. Intervention use reduction","committed","horizon_mean",0.15,0,0.15,0,1.28888935640426,1.2369107677369,1.33671193372176
"A. Intervention use reduction","committed","horizon_mean",0.1575,0,0.1575,0,1.30410605037162,1.25033474952121,1.35358749200707
"A. Intervention use reduction","committed","horizon_mean",0.165,0,0.165,0,1.31930271813777,1.26345911936694,1.37081220533549
"A. Intervention use reduction","committed","horizon_mean",0.1725,0,0.1725,0,1.3344716927671,1.27652708848958,1.38795934039993
"A. Intervention use reduction","committed","horizon_mean",0.18,0,0.18,0,1.34960704006054,1.28935175837166,1.40506788216015
"A. Intervention use reduction","committed","horizon_mean",0.1875,0,0.1875,0,1.36470432028347,1.30240801577239,1.42243790678981
"A. Intervention use reduction","committed","horizon_mean",0.195,0,0.195,0,1.37975914538142,1.31500702408758,1.44013101118916
"A. Intervention use reduction","committed","horizon_mean",0.2025,0,0.2025,0,1.3947668491716,1.32822194183959,1.45792250386233
"A. Intervention use reduction","committed","horizon_mean",0.21,0,0.21,0,1.40972269946681,1.34145414114987,1.47482463364529
"A. Intervention use reduction","committed","horizon_mean",0.2175,0,0.2175,0,1.42462240470352,1.35427769801438,1.49252795408935
"A. Intervention use reduction","committed","horizon_mean",0.225,0,0.225,0,1.43946312486849,1.36713029361303,1.50985037637669
"A. Intervention use reduction","committed","horizon_mean",0.2325,0,0.2325,0,1.45424424043567,1.38004901783487,1.52695209090604
"A. Intervention use reduction","committed","horizon_mean",0.24,0,0.24,0,1.46896633821118,1.39301265346073,1.54431939563022
"A. Intervention use reduction","committed","horizon_mean",0.2475,0,0.2475,0,1.48363028269474,1.40598227577323,1.5615039803921
"A. Intervention use reduction","committed","horizon_mean",0.25,0,0.25,0,1.48850551065397,1.41008050480603,1.56714547320957
"A. Intervention use reduction","committed","horizon_mean",0.255,0,0.255,0,1.4982370676052,1.41857367766728,1.57834550967073
"A. Intervention use reduction","committed","horizon_mean",0.2625,0,0.2625,0,1.51278771262398,1.43089504282182,1.59504152580197
"A. Intervention use reduction","committed","horizon_mean",0.27,0,0.27,0,1.52728311673884,1.44377016940423,1.61188603076983
"A. Intervention use reduction","committed","horizon_mean",0.2775,0,0.2775,0,1.5417239179339,1.45614089970351,1.62892268237791
"A. Intervention use reduction","committed","horizon_mean",0.285,0,0.285,0,1.55611044200573,1.46847399800707,1.64628666429122
"A. Intervention use reduction","committed","horizon_mean",0.2925,0,0.2925,0,1.57044327760882,1.48156159413908,1.66320894363438
"A. Intervention use reduction","committed","horizon_mean",0.3,0,0.3,0,1.58472385018756,1.49408363526972,1.67973400255071
"A. Intervention use reduction","committed","horizon_mean",0.3075,0,0.3075,0,1.59895384143517,1.50647388637944,1.69572246143025
"A. Intervention use reduction","committed","horizon_mean",0.315,0,0.315,0,1.61313496797125,1.51875008134776,1.71178573590049
"A. Intervention use reduction","committed","horizon_mean",0.3225,0,0.3225,0,1.62726922694953,1.53169546622248,1.72724904826721
"A. Intervention use reduction","committed","horizon_mean",0.33,0,0.33,0,1.64135907104376,1.54517148393014,1.74262367817488
"A. Intervention use reduction","committed","horizon_mean",0.3375,0,0.3375,0,1.65540725948689,1.55881405526507,1.7578001720229
"A. Intervention use reduction","committed","horizon_mean",0.345,0,0.345,0,1.66941604178345,1.5723578945674,1.7731902669157
"A. Intervention use reduction","committed","horizon_mean",0.3525,0,0.3525,0,1.68338579910088,1.58629632605662,1.78884176454544
"A. Intervention use reduction","committed","horizon_mean",0.36,0,0.36,0,1.69731536968823,1.60011811499284,1.80520795152842
"A. Intervention use reduction","committed","horizon_mean",0.3675,0,0.3675,0,1.71120301833648,1.61333813957294,1.82070566349481
"A. Intervention use reduction","committed","horizon_mean",0.375,0,0.375,0,1.72504670757399,1.62524889014202,1.83655258739681
"A. Intervention use reduction","committed","horizon_mean",0.3825,0,0.3825,0,1.7388443472601,1.63708246641602,1.85164909138241
"A. Intervention use reduction","committed","horizon_mean",0.39,0,0.39,0,1.75259519821871,1.64820943753165,1.86652804666617
"A. Intervention use reduction","committed","horizon_mean",0.3975,0,0.3975,0,1.76630228786463,1.65988951742461,1.88130940799934
"A. Intervention use reduction","committed","horizon_mean",0.4,0,0.4,0,1.77086253577008,1.66378317288895,1.88627676295551
"A. Intervention use reduction","committed","horizon_mean",0.405,0,0.405,0,1.77997114325781,1.67199542158023,1.89650219031316
"A. Intervention use reduction","committed","horizon_mean",0.4125,0,0.4125,0,1.79360727389475,1.68420593627834,1.91237275686974
"A. Intervention use reduction","committed","horizon_mean",0.42,0,0.42,0,1.8072153242916,1.69698543024512,1.92814886223341
"A. Intervention use reduction","committed","horizon_mean",0.4275,0,0.4275,0,1.82079875198288,1.70987151989674,1.94481282521286
"A. Intervention use reduction","committed","horizon_mean",0.435,0,0.435,0,1.83435954932356,1.72315020513685,1.9613802345149
"A. Intervention use reduction","committed","horizon_mean",0.4425,0,0.4425,0,1.84789871540364,1.73593554325529,1.97734125753236
